"loan_amnt","funded_amnt","funded_amnt_inv","term","batch_enrolled","int_rate","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","address","dti","delinq_2yrs","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","collections_12_mths_ex_med","last_week_pay","acc_now_delinq","tot_coll_amt","tot_cur_bal","total_rev_hi_lim","no_funded_amnt"
"11050","11050","11050.0","60 months","BAT446479","15.61","D","D1","Customer service representative","10+ years","RENT","62300","672xx,KS","21.73","1","0","11","1","12064","74","20","2096.21","0","0","0","0","70th week","0","0","105737","16300","1.0"
"30000","30000","30000.0","36 months","BAT6248271","9.17","B","B1","Registered Nurse","10+ years","RENT","110000","937xx,CA","14.52","1","0","19","0","31148","61","42","1386.68","0","0","0","0","26th week","0","0","85611","51100","1.0"
"10000","10000","10000.0","60 months","BAT4106493","13.33","C","C3","Mail carrier","10+ years","OWN","55700","281xx,NC","26.63","0","1","23","0","16685","54.9","29","213.44","0","0","0","0","9th week","0","0","35978","30400","1.0"
"35000","35000","35000.0","36 months","BAT4711174","14.98","C","C3","Operator","10+ years","MORTGAGE","80000","365xx,AL","20.94","0","1","12","0","27352","73.7","35","5756.61","0","4754.1","855.738","0","74th week","0","0","113870","37100","1.0"
"11500","11500","11500.0","36 months","BAT5319342","11.67","B","B4","waitress/bartender","5 years","RENT","40000","432xx,OH","21.99","0","0","12","0","8362","50.1","12","1592.35","0","0","0","0","78th week","0","0","27463","16700","1.0"
"20000","20000","20000.0","60 months","BAT5260863","13.99","C","C4","Project Manager","7 years","MORTGAGE","57000","454xx,OH","19.12","2","1","21","1","12490","80.6","29","660.26","0","0","0","0","13th week","0","0","112760","15500","1.0"
"20000","20000","20000.0","60 months","BAT446479","14.49","C","C4","IT Manager","< 1 year","MORTGAGE","80000","333xx,FL","27.17","2","0","11","0","32601","44.5","25","1451.74","0","0","0","0","26th week","0","0","241609","73300","1.0"
"27525","27525","27525.0","60 months","BAT6612051","18.84","E","E2","Maintenance Mechanic","10+ years","MORTGAGE","60000","605xx,IL","22.14","0","0","15","0","26394","73.7","22","3301.55","0","0","0","0","35th week","0","0","177507","35800","1.0"
"15000","15000","15000.0","36 months","BAT4106493","16.55","D","D2","Sales Manager","10+ years","OWN","155000","891xx,NV","16.36","2","2","7","0","1684","62.4","21","395.48","0","0","0","0","9th week","0","0","746647","2700","1.0"
"3000","3000","3000.0","36 months","BAT5046402","21.49","E","E3",,"n/a","RENT","12552","300xx,GA","20.27","0","2","7","0","4770","51.8","11","526.15","0","0","0","0","48th week","0","0","4770","9200","1.0"
"2000","2000","2000.0","36 months","BAT3795313","7.74","A","A3","Chickasaw Nation","9 years","OWN","28000","748xx,OK","20.23","0","4","9","0","5121","17.7","21","247.76","0","0","0","0","161th week","0",,"0","0","1.0"
"17950","17950","17950.0","36 months","BAT5319342","13.35","C","C2","Sawyer","< 1 year","MORTGAGE","45000","465xx,IN","21.25","0","2","13","0","9516","41.9","23","2741.54","0","0","0","0","78th week","0","0","109805","22700","1.0"
"8000","8000","8000.0","36 months","BAT446479","12.99","C","C1","water treatment operator","10+ years","OWN","75000","142xx,NY","17.84","6","1","17","0","1614","16.1","38","1187.76","0","0","0","0","74th week","0","0","181157","10000","1.0"
"30000","30000","30000.0","60 months","BAT6248271","17.57","D","D4","RN","10+ years","RENT","65000","380xx,TN","38.11","0","1","9","1","27013","94.1","27","6039.5","0","0","0","0","65th week","0","0","64231","28700","1.0"
"10000","10000","10000.0","36 months","BAT4031849","16.78","C","C5","Toys R Us","9 years","RENT","67700","923xx,CA","22.76","0","1","12","0","9975","73.9","15","2197.53","0","0","0","0","87th week","0","0","39531","13500","1.0"
"20000","20000","20000.0","60 months","BAT6612051","21.67","E","E5","Accountant","1 year","MORTGAGE","60000","164xx,PA","21.7","0","0","22","0","33471","93.7","28","2086.05","0","0","0","0","26th week","0","0","234602","74300","1.0"
"8000","8000","8000.0","36 months","BAT4729018","7.89","A","A5","Teacher","6 years","MORTGAGE","57500","334xx,FL","10.58","0","0","8","0","5216","41.1","22","337.09","0","0","0","0","30th week","0","0","470635","12700","1.0"
"21000","21000","20950.0","36 months","BAT3016651","10.99","B","B2","Deputy COO","4 years","MORTGAGE","150000","337xx,FL","14.26","0","0","13","0","35104","62.2","19","2238.43","0","0","0","0","57th week","0","0","233379","56400","1.0"
"12675","12675","12675.0","36 months","BAT4268557","6.92","A","A4","Administrative Support Assistant","10+ years","MORTGAGE","48206","546xx,WI","17.48","0","0","10","0","5189","39.3","28","269.71","0","0","0","0","13th week","0","0","139458","13200","1.0"
"14400","14400","14400.0","60 months","BAT6004464","16.99","D","D3","Delivery driver/merchandiser","2 years","RENT","39500","370xx,TN","37.22","0","0","16","1","12306","47.1","25","176.7","0","0","0","0","4th week","0","0","41840","26100","1.0"
"10000","10000","10000.0","60 months","BAT5060554","12.39","C","C1","Math Teacher","10+ years","MORTGAGE","80689","750xx,TX","35.12","0","2","32","0","50109","76.5","55","1057.88","0","0","0","0","48th week","0","0","227443","65500","1.0"
